index,card_name,set_name,card_id,binder_name,page_number,slot_number,card_market_value
1-19-1,Fire Energy,Base,base1-98,1,19,1,0.27
1-19-2,Lightning Energy,Base,base1-100,1,19,2,0.47
1-19-3,Water Energy,Base,base1-102,1,19,3,0.28
1-19-4,Grass Energy,Base,base1-99,1,19,4,0.24
1-19-5,Psychic Energy,Base,base1-101,1,19,5,0.3
1-19-6,Fighting Energy,Base,base1-97,1,19,6,0.24
1-19-7,Double Colorless Energy,Base,base1-96,1,19,7,5.19
1-19-8,Charizard,Base,base1-4,1,19,8,459.35
1-19-9,Blastoise,Base,base1-2,1,19,9,160.51
1-20-1,Venusaur,Base,base1-15,1,20,1,124.9
1-20-2,Mewtwo,Base,base1-10,1,20,2,42.56
1-20-3,Zapdos,Base,base1-16,1,20,3,37.84
1-20-4,Gyarados,Base,base1-6,1,20,4,33.33
1-20-5,Poliwrath,Base,base1-13,1,20,5,18.8
1-20-6,Nidoking,Base,base1-11,1,20,6,27.4
1-20-7,Hitmonchan,Base,base1-7,1,20,7,19.22
1-20-8,Magneton,Base,base1-9,1,20,8,15.39
1-20-9,Chansey,Base,base1-3,1,20,9,23.23
